Feature,Cternatea_20692_DDA_neg_5142025_053,Cternatea_20692_DDA_neg_5142025_054,Cternatea_20692_DDA_neg_5142025_055,Cternatea_9336_DDA_neg_5142025_056,Cternatea_9336_DDA_neg_5142025_057,Cternatea_9336_DDA_neg_5142025_058,Instrument_blank_DDA_neg_5142025_060,Cternatea_QC_DDA_neg_5142025_048,Cternatea_QC_DDA_neg_5142025_049,Cternatea_QC_DDA_neg_5142025_050,Cternatea_QC_DDA_neg_5142025_051,Cternatea_QC_DDA_neg_5142025_052,Cternatea_QC_DDA_neg_5142025_059,Extraction_blank_DDA_neg_5142025_047,Instrument_blank_DDA_neg_5142025_046
440.08780@0.596,302234,310118,309979,273691,274837,265607,0,289878,272028,276158,284729,284236,285896,17019,0
440.34900@0.591,6029,5874,7049,6442,5314,5819,0,5182,5965,5378,5406,6216,6534,0,0
441.08840@0.597,93231,112618,49702,94948,92673,109575,0,45241,41097,83405,97210,44932,83549,9289,0
441.10290@4.287,10994,11849,11197,5702,5939,6188,0,10222,9664,9138,9127,9321,9121,0,0
441.12550@8.327,30802,16785,31646,31632,31865,31682,42676,38123,33760,34593,35187,33867,32548,63935,36330
441.12660@3.661,4728,5308,5418,12645,12599,12643,0,11462,10525,11432,9821,10467,10633,0,0
441.16110@2.511,12560,13220,12929,6456,6403,659,0,10739,9182,9239,9267,9851,17245,0,0
441.17520@4.062,19298,20733,19551,7592,7443,7470,0,14292,13981,13449,13210,13674,13306,0,0
441.17560@4.328,80267,82532,78923,60554,59540,59497,0,74938,74391,73436,73005,76121,74654,0,0
441.21320@5.845,1329,1130,919,26810,25761,26631,0,1217,1097,1635,1338,1351,1330,1948,0
441.25170@8.247,74631,74155,81549,69855,66500,69224,56377,123248,119746,111390,109562,105665,104176,101271,58200
441.28460@8.046,16825,16699,17212,25376,24671,24988,0,23774,23458,23706,22669,23484,22734,0,0
441.28480@8.159,12981,12508,11895,17413,17978,18209,0,17579,17317,17372,16424,17416,16855,0,0
441.28480@7.958,4698,4521,4729,6369,6423,6904,0,6309,6361,6273,6970,6419,6514,0,0
441.78870@13.693,8291,8716,11107,10794,11427,8894,11443,5945,7048,7756,7561,8977,9002,3955,2073
443.08240@7.946,5534,3891,3879,3037,5355,3578,6457,9853,8185,7346,6003,4005,5170,21908,11150
443.11860@4.115,77721,80625,81467,24487,26382,24161,0,51346,49457,48204,49011,51024,46901,0,0
443.12990@3.454,12001,13054,12086,11669,12078,12153,0,15477,14409,14222,13994,13348,13570,0,0
443.19130@3.374,45760,46076,45142,32771,31738,33117,0,41865,40151,42003,40900,39436,41131,0,0
443.99900@2.756,4006,3397,3669,3619,3891,4458,0,3394,3058,3275,3800,3949,4041,0,0
444.13480@2.925,24931,25847,25537,9603,8702,8344,0,18219,18980,17722,18242,17720,18020,0,0
445.07370@7.949,4137,6078,5928,2797,3190,2619,3585,5815,11136,6933,6541,7061,2718,18363,31130
445.11920@0.695,403108,411060,409631,371846,365401,355583,0,403325,381349,385217,388871,384456,380261,0,0
445.19280@3.129,18854,18613,18288,18087,17854,16897,0,22511,21745,20654,21133,21632,20392,0,0
446.13040@2.569,4452,4778,5006,3276,2946,3622,0,4317,4830,5305,5023,4822,5770,0,0
446.17880@3.492,5303,5243,4779,4841,4705,4761,0,5719,4752,5355,5311,5277,5594,0,0
447.07110@5.705,1910,2063,1734,1783,2067,1927,0,2205,1944,2046,1879,2189,1937,4250,99
447.09180@4.695,10620,10888,10101,6420,5714,5824,0,8740,8855,8891,8570,8336,8554,0,0
447.09220@4.947,65148,64785,64427,88389,81829,85648,0,81337,83229,82913,82903,82197,83259,2648,0
447.09250@5.080,22838,16025,21580,33641,39197,39735,0,30704,30832,27051,29865,29801,21571,0,0
447.09280@4.856,727499,745656,736625,1201516,1173671,1197144,0,1082075,1072284,1062006,1047622,1056038,1035510,2648,0
447.10860@2.845,14709,14626,17327,11803,11743,11566,0,12421,11449,12855,12266,14619,14161,0,0
447.11350@3.154,481549,463594,456923,371193,376716,368080,0,513827,492608,470121,463596,467187,437580,0,0
447.13300@7.077,19112,19493,18720,14661,13888,14934,0,16036,15086,15495,15467,14809,14467,21952,2405
447.13310@0.634,55181,54496,55667,50097,54300,48754,0,58443,54398,53531,55257,55705,57325,0,0
447.14970@3.204,8960,9689,8651,5562,5186,5199,0,10945,7900,8325,8922,9429,9716,0,0
447.14970@4.458,12556,13403,13343,9609,10251,9976,0,12690,13014,13371,12356,12246,12728,0,0
447.15000@3.696,13984,14255,14087,23701,24088,23199,0,22268,21575,21898,21605,21328,21337,0,0
447.15010@3.077,47484,48900,48389,23566,23187,23770,0,38428,37386,37850,37849,37567,37230,0,0
447.18620@3.349,100232,100779,101176,50311,51445,49544,0,88137,83160,82883,84146,83338,78893,0,0
447.22790@4.856,4761,6753,6686,3702,4296,1948,0,489,1323,1612,3278,882,4205,0,0
447.23760@7.705,73742,74263,76856,72005,63891,63655,0,86209,94460,86542,91909,86929,80337,0,0
447.23780@7.617,18018,17282,18670,17057,16892,16718,0,23741,23195,21057,21344,21749,21130,0,0
447.24850@4.852,1846,1442,1666,5716,6028,5986,0,2283,2717,2127,4153,3687,4748,0,0
447.25050@9.209,50457,50890,50934,59505,59220,57904,0,65175,63490,61304,61266,60288,60130,0,0
447.33140@4.856,1003,634,1295,4294,4118,3269,0,1750,764,834,971,1944,1100,0,0
447.48030@4.852,1245,2190,2511,5105,4991,4327,0,3649,3153,3646,3902,2951,4234,0,0
448.09590@4.856,172906,178424,174530,338340,331601,334696,0,293706,285476,282525,281463,280967,276838,136,0
448.10870@3.850,31340,32953,31706,18742,15855,16452,0,19046,18525,19833,17985,18176,17915,0,0
448.10890@3.930,40103,38222,40990,27190,26116,26021,0,35749,35114,33615,32977,35344,33195,0,0
448.16040@3.364,25274,24954,24718,10996,11576,11364,0,21022,19974,20383,19183,19367,19460,0,0
448.16050@3.463,63142,61984,60641,36399,36994,34994,0,59559,56695,56099,55576,53864,49265,0,0
448.18130@3.913,80522,81840,79560,48475,46000,45829,0,69728,66273,68346,66081,67628,63089,0,0
448.18140@4.068,36535,37662,39102,15046,14424,14224,0,24743,24840,24146,24702,25162,23386,0,0
448.18170@3.812,49623,47577,47579,31717,30690,29352,0,42842,42324,41200,41024,38347,37695,0,0
448.34150@4.862,1987,2311,2241,4584,4293,4095,0,3740,3143,4022,3657,3380,3963,0,0
449.09780@4.856,39335,37118,39179,79780,79530,80109,0,64583,72692,71775,67108,62291,69764,0,0
449.10770@4.044,34535,33929,34763,29210,29115,29850,0,29870,31309,32424,32103,32613,31520,0,0
449.10780@3.915,233328,239341,237019,210233,210021,207126,0,251994,242292,242660,241475,240712,236737,0,0
449.11910@2.723,301465,304669,300215,203272,201594,201032,0,300806,286232,291544,285422,280089,265461,0,0
449.11930@2.845,626671,643915,636298,527399,527943,514897,0,659365,647176,638678,639216,638151,601889,0,0
449.12440@3.543,35375,35752,34587,50379,46293,49069,0,44518,42739,41271,43139,42182,46452,0,0
449.14890@7.057,49185,49923,48342,54164,55113,55050,0,60091,58991,59661,58086,57719,55875,47917,243
449.20200@4.417,20230,19954,20425,6810,6910,6803,0,14553,14315,14447,14407,13943,13448,0,0
449.20200@3.746,23392,22385,34703,23796,23221,24073,0,35269,33202,35498,33294,32654,32590,0,0
449.27450@5.598,50208,51222,50426,39950,40875,40849,0,51853,50009,50029,47639,47334,49372,0,0
449.38230@4.855,1204,1281,1112,1968,2264,2572,0,1931,1846,1803,2029,1845,2104,0,0
449.43610@4.853,959,1060,1265,2436,2612,2479,0,2036,2187,1987,1910,1591,1941,0,0
450.10320@2.766,16626,17935,18466,13750,14242,14318,0,16199,15617,15976,16323,17401,19223,0,0
450.12230@2.845,136904,138319,134780,112726,113699,109108,0,142892,136992,138946,136696,134611,127808,0,0
450.16070@3.812,19891,20784,19347,12991,13679,13427,0,17928,17163,16954,16676,16988,16407,0,0
450.19710@4.084,29673,30233,31303,18154,17437,17423,0,23559,21832,22244,22235,23613,21823,0,0
450.84340@13.671,6809,7540,6832,7741,8353,7627,8024,12990,10669,8537,7888,7560,7296,21549,26729
450.91010@0.510,4550,5045,4310,5327,4076,4128,0,4800,4185,4868,5189,5065,5385,199,0
451.13650@3.693,17569,19213,18972,13968,15171,17347,0,17299,16576,16317,15445,16218,19738,0,0
451.14470@2.585,44566,45357,42954,20769,20508,20306,0,39293,37404,34576,35542,35043,31862,0,0
451.14480@2.417,12639,12981,13204,5220,5358,5278,0,10611,10320,9820,10348,9907,9686,0,0
451.29090@10.350,75498,76226,78249,80074,80126,75466,0,97699,92496,90927,93512,92368,100893,16258,23201
451.29160@11.385,2338,3014,2289,3146,2878,2247,0,3475,3324,2662,3076,2754,3434,2433,0
452.15510@3.984,11718,11233,12019,6428,5809,6786,0,9694,9207,10088,9846,9956,9648,0,0
452.21280@3.894,9172,9056,9510,11388,10722,10398,0,11471,10188,10930,10655,10246,10005,0,0
452.21310@3.812,5006,4707,4835,3954,4250,3920,0,5006,4344,4784,4901,4204,4471,0,0
452.99570@0.518,1706,1942,1823,2245,2191,1959,0,2486,1878,2367,2489,1869,2202,0,0
453.01160@3.191,4336,3875,4556,5335,5702,5852,0,5351,4974,5241,4964,5388,5328,0,0
453.10020@3.861,19066,19199,19343,13749,13363,13001,0,18500,16288,17538,18126,17987,16132,0,0
453.10100@0.593,752267,773160,771508,668376,672209,656664,0,730048,703597,707682,711711,721858,714922,312,0
453.10250@2.817,11021,12566,12411,5937,4208,5526,0,11975,12244,10591,8952,9465,8846,0,0
453.17980@9.083,10791,4783,9537,7213,10660,10151,11141,12584,12884,12122,12124,6597,11773,14601,12220
453.19360@8.939,7312,7678,7264,8618,7997,7960,0,180,4072,5909,7339,7791,7190,0,0
454.11920@1.231,39128,39400,38056,26971,28268,9476,0,33864,15906,32247,31800,30802,31428,0,0
455.02630@3.730,7467,7852,7423,5306,5788,5378,0,7103,6471,6653,6587,6594,6511,0,0
455.09730@3.744,9665,9932,9325,7988,6564,6264,0,10384,10531,9684,9352,9770,8721,0,143
455.10560@0.595,36971,37969,39078,34197,35590,33706,0,38223,36431,35896,35118,37675,36980,13568,517
455.14110@8.697,41628,41867,42658,38166,35560,35398,50820,27379,26737,45477,27811,27310,41677,66949,46365
455.35130@10.321,2975,2894,2916,5560,5103,5068,0,4188,3899,4220,4186,3962,3996,0,0
456.17130@4.438,6578,6996,7224,6070,5829,6077,0,7061,7040,6843,6745,6952,7184,0,0
456.23620@11.388,36930,37763,39752,49666,14387,39305,0,43049,36897,34928,37424,36393,44788,53171,15015
456.85860@0.482,22059,22248,24023,21454,21797,21347,341,27315,27276,26739,25523,25730,26984,28902,1259
456.86020@13.656,2129,2287,2549,2564,2769,2533,2790,3369,2872,2581,2289,2545,2487,3632,3663
456.86070@9.629,1057,150,197,327,378,290,0,2372,1338,586,660,869,573,3286,0
457.09800@8.327,10408,10394,10080,9782,5571,9017,11272,20458,15279,13904,7609,10568,5227,46043,27091
457.10110@5.121,1938,2185,1887,2215,2293,2572,0,1978,2158,2194,1897,2476,2357,3932,0
457.10130@5.340,3011,3052,2668,2636,3118,3244,0,3021,2714,3100,2206,2745,3317,6932,0
457.11910@1.236,27750,27917,27415,25076,24447,22921,0,33101,28835,29569,30907,28528,29075,0,0
457.31650@9.495,3122,3065,3401,3267,3601,3539,717,4788,4894,4608,4331,4541,4692,4173,2143
458.15070@3.285,27070,28893,28133,15937,14361,15012,0,25610,24365,25753,25543,25461,23231,0,0
458.15080@3.181,36610,36677,37058,23413,22870,22318,0,32489,31403,30793,29765,30303,28336,0,0
459.06210@0.797,31091,33380,33235,54944,54757,54983,0,52986,48914,49652,48344,22962,44737,0,0
459.09810@8.334,5519,9351,5494,4948,9140,9001,12032,12269,10430,10458,5956,10665,5186,21744,17685
459.13460@0.973,77701,78826,79459,74278,75251,73091,0,87956,83990,82566,80836,79868,79674,0,0
459.22210@5.180,27505,28281,28062,18924,18892,17689,0,22692,28590,21913,28377,29038,27608,0,0
459.99430@2.793,6592,6253,6456,5842,6203,5247,0,4217,3976,4685,5502,6032,5732,0,0
460.99480@2.531,2839,2827,3037,3060,3482,2861,0,2393,2556,207,3028,2768,3122,0,0
461.04620@0.604,1520,1104,1460,1158,946,1242,0,1300,1220,1457,1431,1174,1388,2907,0
461.07150@3.507,48540,48814,47602,30695,29595,28982,0,64087,62507,60769,59986,58450,57468,0,0
461.07150@3.089,22476,23025,23865,15657,14639,16096,0,21386,20580,20883,20214,20756,20709,0,0
461.07150@3.759,59041,57989,54264,30413,29078,28249,0,73533,68476,66692,61666,58622,46388,0,0
461.07190@3.407,21536,20491,20957,11434,11011,10880,0,24493,23064,22532,22942,21026,17985,0,0
461.07210@4.643,62151,63538,65624,51728,49399,49764,0,52242,52131,55504,56836,58379,62590,0,0
461.09400@8.343,4119,2651,4269,3066,4011,3459,4515,2567,2938,3929,2177,3754,3253,6670,6163
461.11910@2.871,25919,26579,26278,20625,20666,19734,0,35464,30015,29657,28551,28896,25781,0,0
461.12910@3.997,12223,10751,11750,8705,8254,8348,0,11544,10839,10225,10683,10586,10590,0,0
461.12920@2.973,7138,6502,7583,7256,7955,7548,0,9327,9320,8429,8504,8302,9133,0,0
461.16500@4.674,17967,17406,15850,10642,12933,11211,0,15710,14739,14360,14356,12771,15545,0,0
461.16560@3.694,365217,369950,367307,228604,222830,222134,0,333272,326578,319188,310835,316637,314862,0,0
461.25380@8.202,35586,37142,37333,38317,33545,37085,0,40426,48834,36249,40321,39134,44976,0,0
461.28990@8.427,14577,14318,14858,5601,5293,5282,0,11920,12276,11410,12138,11317,11050,100,0
462.10320@2.949,14978,13701,13318,9012,9198,9354,0,15798,14537,14426,14160,14155,12826,0,0
463.01860@4.631,3782,3184,450,1691,443,1199,0,3263,1806,3370,3257,3613,2237,0,0
463.08300@1.326,8599,8812,8379,11905,11985,11242,0,12686,11780,11181,11586,11446,11369,0,0
463.08660@4.279,4608,4981,5620,7430,6760,6409,127,7028,7097,9156,6159,6714,7257,0,0
463.08720@4.824,538874,557635,531281,166701,171631,171217,0,333459,550876,325559,298026,301541,318018,1251,0
463.08720@3.550,23817,26363,25786,16252,15543,17451,0,22387,23844,23087,23615,23259,23692,0,0
463.08730@5.068,70989,75380,64763,42625,49685,44736,0,61758,60154,66840,58979,71692,59759,0,0
463.08860@4.625,2963236,2954871,2923928,2477521,2437608,2457802,8742,2888582,2868717,2825094,2870121,2838892,2790309,71747,0
463.10840@3.050,86281,90852,90834,51853,52518,52413,0,78407,77077,78444,81940,80138,74135,0,0
463.10850@0.547,2067,2309,2090,3240,3121,3109,0,3267,2943,3323,2908,3012,2925,0,0
463.12370@3.113,82552,80868,75117,34536,36416,25959,0,74486,72621,73251,72925,71382,39494,0,0
463.12400@3.767,3516,3741,3229,2647,1826,2231,0,3612,3419,3171,3294,3530,2754,0,0
463.13460@2.783,16250,16683,17119,9949,9672,9989,0,14270,12813,13110,12774,13500,16689,0,0
463.13510@2.871,74710,75953,76985,48047,49227,46382,0,72336,66166,68199,67619,67119,64441,0,0
463.14820@4.621,146733,146539,148104,126322,122705,124600,0,146225,144646,142194,140304,141770,139716,0,0
463.17190@2.537,4456,4271,4451,2894,3011,3222,0,4698,4520,4285,4045,4403,4047,0,0
463.21720@5.087,259432,263611,259413,331865,329912,326073,0,354565,343040,342971,338149,336195,327105,0,0
463.21730@5.202,83299,82974,85263,119896,119319,119580,0,120927,117212,115460,115394,117507,115137,0,0
463.24770@4.623,32261,31946,32732,29671,28761,29762,0,30721,31243,31347,30449,31532,32043,0,0
463.28970@8.107,37322,38686,37290,50295,49402,50597,0,54908,51709,49776,51067,50068,48898,0,0
463.29020@8.201,69067,69002,68715,91652,91858,90137,0,101564,94496,93300,89014,90991,86521,0,0
463.29040@8.319,32790,33640,32186,41906,42471,43180,0,45150,42265,41368,40928,41566,41391,0,0
464.09080@4.622,1243490,1242705,1229618,1053697,1028070,1032693,1125,1213555,1213013,1188184,1196339,1185993,1179542,20131,0
464.11860@2.829,18116,18561,19133,14428,14486,14477,0,19203,18624,18692,18687,18518,16280,0,0
464.11910@2.913,30360,29986,29928,24138,23413,24220,0,32293,32456,32341,30610,30075,30426,0,0
464.13800@2.871,18303,19112,17604,11042,11301,10917,0,16613,15463,15899,15990,14836,15892,0,0
464.17650@3.352,122644,124141,125630,77326,75127,71447,0,112567,108289,108092,109743,106083,100586,0,0
464.18690@4.621,17193,19922,22972,19534,18888,20552,0,17351,17428,17439,18613,18916,26652,0,0
464.23490@4.624,14209,16458,18015,13784,17279,18090,0,12349,11736,12438,14221,15236,20369,0,0
464.38500@4.624,19974,20267,19584,16346,18030,17598,0,18241,18827,18717,17861,18779,19928,0,0
464.98040@4.622,7148,5604,5750,7842,6376,5864,0,1968,10516,6075,4223,2358,6774,0,0
465.00490@3.398,2448,1982,2086,1877,1799,1660,0,7330,5286,4300,3406,2888,1556,0,0
465.09270@4.621,276390,278984,276062,233842,235437,251382,0,275905,267503,269180,265898,263479,281771,4304,0
465.09870@1.363,132447,134856,134740,107973,103019,100044,0,174180,163569,158987,155067,149732,135273,0,0
465.10270@3.506,46870,51358,48732,26762,29201,28671,0,41521,42988,40688,40772,40751,41039,0,0
465.10300@3.561,26380,25440,27457,22617,21601,20959,0,29043,24550,27304,25799,23674,24525,0,0
465.10300@4.099,10673,10989,11109,4138,3941,4066,0,6581,6739,7052,7087,7020,6581,0,0
465.10360@3.700,13377,14554,15488,10799,11054,10271,0,12823,14031,13638,12838,12692,12923,0,0
465.11390@2.367,37178,36996,37161,39778,39183,38370,0,48459,45234,44834,45180,43903,41430,0,0
465.12300@2.830,6040,5447,6427,4176,4211,4307,0,5792,5662,5414,5177,5838,5709,0,0
465.26930@4.948,41363,43009,40417,22823,23536,23108,0,35725,36333,36021,35935,34606,35249,0,0
465.30360@10.837,50331,53197,51734,40864,41636,41143,13270,195002,191037,191339,189103,191649,195917,53936,12158
465.36380@4.623,7118,7270,8523,6206,6424,7006,0,7210,6769,8520,7973,7287,8078,0,0
465.39250@4.625,9156,8927,8798,7704,7755,8149,0,8516,8921,9090,8854,7904,8642,0,0
465.75970@4.628,2456,2742,2825,1998,2307,2613,0,2179,2449,2120,2546,2944,2826,0,0
466.13010@2.696,19818,18295,18678,12991,12276,11942,0,19785,18502,18292,16239,17474,11818,0,0
466.19200@3.746,23330,22709,22350,21883,21136,19745,0,23960,22988,22194,21836,21346,19749,0,0
466.26460@5.791,5755,5379,5653,4184,3791,3578,0,5443,5589,5290,5397,5567,5045,0,0
467.07460@0.736,8443,10593,10493,11641,12412,11556,0,11670,11183,10780,9649,11306,9064,0,0
467.09330@3.155,22557,23093,20885,15326,17104,14600,0,22035,20984,20329,18811,19643,14306,0,0
467.09410@3.379,12017,11294,13389,11994,12357,13543,0,10557,9771,9711,10806,9920,12896,0,0
467.11820@4.508,4438,4207,4385,8183,7858,8480,0,7474,6725,6738,7085,6564,6925,0,0
467.11870@2.890,26390,26442,26247,11093,11029,11077,0,21586,19447,20035,19864,20274,19951,0,0
467.12940@5.114,9912,9941,9313,8421,8811,8888,0,11625,10327,10071,10284,9520,9900,23628,0
467.12990@5.337,53438,55589,55177,48239,48017,48544,0,61501,59823,56654,58016,56178,53699,107332,0
467.17620@3.727,44635,45215,42688,19847,20245,19400,0,34670,35012,35089,33511,34623,34509,0,0
468.13490@2.587,25676,23182,22973,12389,12687,10635,0,23109,19833,18878,18175,20380,14512,0,0
468.24450@4.035,2449,2022,2209,1858,1898,1992,0,2501,2370,2241,2041,2377,2222,0,0
468.97820@0.518,18671,19007,18859,22033,21716,21093,0,20080,20484,19424,19233,19281,19592,0,0
469.13390@4.275,10608,10669,9878,2735,2732,2887,0,7298,6577,6729,6758,6268,6704,0,0
469.13780@3.485,14826,15043,14705,7693,8135,7268,0,12927,12547,12262,12277,12238,10974,0,0
469.15600@9.091,28426,25797,28156,38058,16485,19591,42675,51078,47197,46032,48280,30862,25827,55218,49954
469.17020@5.186,38062,38767,38150,57197,56420,57197,0,57545,53622,53529,53467,53604,51912,0,0
469.36800@10.594,1546,1651,1544,3278,2843,2815,0,3035,3103,2534,2525,2653,2009,0,0
470.15080@0.998,245981,248916,250697,148209,146693,145114,0,226243,214953,212276,214147,210959,210681,0,0
470.90040@0.467,10810,10872,11562,10549,10308,10222,0,12241,10723,11828,11110,11848,11656,4061,0
471.06550@0.535,9382,9974,10002,11812,12038,10878,0,10289,8911,9527,9714,9213,9696,4158,0
471.10100@2.723,16285,16530,16297,11496,11279,10823,0,15562,15538,14917,15288,15187,13517,0,0
471.10130@2.846,21543,21406,21673,18571,19274,16983,0,21926,22487,21736,21380,22114,18224,0,0
471.10520@4.951,21242,20562,20489,13415,15534,16458,0,18520,17820,18553,17646,18446,21623,0,0
471.11340@8.697,12084,12601,11451,11763,12361,11200,13190,26562,12240,17171,9324,14109,10555,51524,35060
471.13470@0.649,119469,128103,124292,50986,45685,45524,0,109893,86084,89466,82161,79516,82103,0,0
471.19820@11.387,954,1094,827,1339,1266,850,0,2199,1498,1541,1149,1398,947,3084,190
472.15790@3.385,53047,52599,56677,50994,48253,49890,0,56557,55693,53966,53766,52127,60644,0,0
473.08510@1.363,15424,17066,16821,16333,15942,15159,0,16610,18487,18857,19339,19058,17067,0,0
473.10290@4.951,8169,8043,7498,4893,5890,5995,0,7220,6488,6755,6954,7010,8692,0,0
473.11370@0.738,17823,12805,21059,19924,18532,19132,0,20722,16729,20728,22721,16368,17897,0,0
473.12930@4.236,46578,46062,47054,26445,27071,27438,0,40030,39308,38782,38587,37507,36674,0,0
473.15790@0.700,144889,122821,116544,85697,89931,81761,0,100809,103212,121045,103183,95781,94976,0,0
473.16180@0.587,306737,308699,312611,343210,338787,330457,0,341259,335598,335035,331659,335587,330370,250,0
473.16510@4.960,56849,56669,56626,19871,20028,20248,0,42332,40520,40139,41932,40669,40022,0,0
473.16520@4.893,13214,13747,13125,4622,4403,3660,0,9727,9685,9790,10788,9033,9511,0,0
473.20220@4.383,19157,19588,33701,15473,16088,15461,0,15124,26972,27997,28023,14504,26017,0,0
473.28150@9.438,104758,110684,114903,92417,95510,96921,9254,104004,104792,105604,106291,107924,126081,172192,23091
474.10110@8.323,11895,12624,13849,8794,14836,13742,17331,3731,7227,6278,11444,12360,15070,4490,12631
475.05720@0.784,17053,16736,15912,28453,28184,28110,0,26440,23713,23284,23529,25346,23704,0,0
475.08730@3.752,15303,14297,14709,17882,18130,16669,0,19397,20000,18634,19313,19112,17879,0,0
475.10960@8.714,3886,5710,6197,5440,4661,5804,6266,3468,4386,5933,5485,4004,5200,8555,4022
475.12960@0.699,213498,216901,218491,181143,177751,177233,0,211848,195608,199751,196615,196780,194126,0,0
475.14430@3.544,33032,33661,32699,13268,13518,12980,0,23642,24501,24316,24776,23703,25406,0,0
475.21730@4.542,34127,34041,34632,11098,11076,11659,0,23321,22665,23436,22939,22288,22577,0,0
475.21770@4.434,22316,22203,22453,7877,8990,8569,0,16101,15673,16361,16487,15748,15503,0,0
475.24590@7.886,26437,25062,24835,28155,33564,32603,0,51952,49985,37444,35378,33261,34781,0,0
475.24600@7.778,21503,21544,20626,25615,29742,30516,0,31912,29624,29111,26460,26119,29381,0,0
475.26850@8.216,3122,3560,3469,1660,2127,1982,0,4267,4214,4007,3614,2873,2916,0,0
477.10230@3.286,8019,9628,8029,6806,6884,6855,0,8512,8465,8586,8930,9527,8413,0,0
477.10270@4.893,20289,21417,21460,16556,16562,16508,0,22466,21602,20767,21380,20219,19121,3371,142
477.12430@3.084,10897,12229,10590,11015,10536,9740,0,11273,11078,12024,11727,10731,11442,0,0
477.12440@2.794,44605,45355,45274,27833,27234,28021,0,41665,40586,41847,39948,40496,39099,0,0
477.14570@0.605,191808,195950,194545,174279,173882,169931,0,198657,187072,189269,185681,189414,183883,0,0
477.16010@3.754,37866,39009,38791,24565,24097,22578,0,35765,33564,35648,35514,35146,32162,0,0
477.19640@5.116,15004,14057,15270,19548,18468,20251,0,19525,19448,18962,18244,19399,18386,0,0
477.23280@4.446,24764,24267,25138,19623,20396,18944,0,24510,22906,24076,23173,22922,22797,0,0
477.26120@8.047,12692,12452,12532,17038,19885,19603,0,22958,21209,20067,18662,18294,18501,0,0
477.28510@9.423,30008,30414,29158,14391,14310,14585,0,27782,25141,24765,24151,24474,23147,0,0
478.07480@8.712,0,0,0,0,0,0,0,7416,1093,0,0,0,0,13234,0
478.15580@3.694,58423,60707,60506,50908,48294,48334,0,55821,53895,53871,51735,52292,52876,0,0
478.21450@4.055,12751,13683,12556,9647,9595,9288,0,11275,12245,11310,11558,12376,10996,0,0
479.00660@0.785,7710,7249,8427,11652,12168,12181,0,12069,10126,10371,10799,11110,10993,0,0
479.08170@3.288,20679,21643,20193,15345,12815,13752,0,20850,20452,19791,18766,19725,18571,0,0
479.08220@2.657,114574,117023,115807,64804,64918,62442,0,105078,100326,97597,97067,96788,92666,0,0
479.08220@2.882,12356,15250,14514,10869,12077,11141,0,13554,12199,12994,11449,11623,14832,0,0
479.08230@4.044,46221,48127,46321,37473,38996,38756,0,47482,46241,45288,45279,45796,44879,0,0
479.08230@3.089,570192,593120,606098,439969,430880,442598,0,518706,505776,508386,520763,503478,566561,0,0
479.08240@4.318,9258,9325,9435,6733,4893,4552,0,7855,10215,7911,7579,6980,7614,0,0
479.09020@1.973,27136,27824,27363,26795,25727,25587,0,33785,31509,30761,31239,31992,30643,0,0
479.11830@3.964,21305,22517,21429,22830,22209,23380,0,24729,24833,24326,24651,24944,21819,0,0
479.11860@3.439,90777,90342,86451,28925,31654,26398,0,75321,70942,68856,69364,67626,51744,0,0
479.12960@2.831,25562,25767,25883,23407,21323,21397,0,27502,27156,27397,26087,24217,25752,0,0
479.17570@3.905,17018,18151,16849,8915,8966,8885,0,14694,14706,15096,14572,14194,13668,0,0
479.24860@4.901,125631,123226,118802,39876,39397,40087,0,89577,86444,87136,86323,86187,82789,0,0
480.09890@3.420,7362,20973,22821,8486,7968,9053,0,14438,12903,13838,14745,13903,16886,0,0
480.12160@4.079,8395,8760,8137,4144,4775,4932,0,6850,6369,5809,6065,7016,6171,0,0
480.28020@8.107,10347,9367,8810,11471,11379,10780,0,16944,16828,16252,14336,13710,12064,0,0
480.28050@8.202,17332,15776,16569,21411,19945,19891,0,31997,30549,27099,24690,22873,19532,0,0
480.28060@8.319,19563,20118,19320,25104,22344,22694,0,41141,34832,32361,28193,27275,22284,0,0
481.09930@3.779,6427,6413,6491,5335,5502,5659,0,7025,6194,6569,6890,6495,6311,0,0
481.13410@4.951,71606,72480,72268,45740,45987,45394,0,70501,67273,66691,65373,64467,63311,0,0
481.17150@5.751,9180,8364,8552,5753,6239,5509,0,8066,7868,8109,8052,8384,7133,0,0
481.19090@3.908,11293,11458,10814,3597,3972,4245,0,8446,8451,8391,8983,8006,7731,0,0
481.25680@7.905,22955,23395,23438,11727,12014,11471,0,20432,19957,18970,20150,18389,17938,0,0
482.20320@8.224,2102,1952,1862,1685,1652,1398,1567,3611,2849,2508,2737,2504,1910,3652,821
482.32530@7.586,2827,2264,2459,2459,2968,3106,0,3252,3343,3192,3205,3056,3681,4229,0
483.12480@2.547,23949,23916,24034,14555,14399,13629,0,24263,21813,21410,22448,21996,20830,0,0
483.18630@4.674,35975,37878,37295,21221,21650,20746,0,31938,31398,31946,32552,31253,31250,0,0
483.27160@8.139,67998,73697,69141,84628,83532,83076,0,91787,89058,85203,84146,80616,80287,358,2453
483.27190@8.088,49751,45051,48791,54796,58296,57616,0,62854,58155,57834,56554,59803,55360,358,1086
484.01560@0.689,11686,11004,13453,13335,14446,15007,0,4563,3888,9281,11721,10957,13895,0,0
484.11940@5.114,6499,6447,6625,6552,6715,5595,0,6947,6504,6602,6633,6241,5602,9040,0
